Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
clusterData.txt;9456;Axel;Schaffland;24;"30.04.2019 15:00";clusterData.txt
points.txt;3150;Axel;Schaffland;27;"30.04.2019 15:00";points.txt
sheet04.ipynb;30792;Axel;Schaffland;26;"30.04.2019 15:00";sheet04.ipynb
sheet04.tgz;12389;Ulf;Krumnack;64;"26.04.2019 17:47";sheet04.tgz
